# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_SLOTHFUL;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. Following in the footsteps of [Root.GetsufiMoSaint] has motivated me to be more active and spend my time on matters of greater importance than naps and games.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Suivre les pas de [Root.GetsufiMoSaint] m'a poussé à être plus acti[Root.GetFVe] et à passer mon temps sur des choses plus importantes que la sieste ou les jeux.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], du hast mich dazu motiviert, aktiver zu sein und meine Zeit mit wichtigeren Dingen zu verbringen, als zu schlafen oder zu spielen.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Seguir la senda de [Root.GetsufiMoSaint] me ha inspirado a llevar una vida más activa y a dedicar mi tiempo a asuntos más importantes que las siestas y el juego.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_ENVIOUS;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. As I have striven to be more like [Root.GetsufiMoSaint] I have also realized that I rarely envy the fortune of others anymore.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Depuis que je m'efforce de ressembler à [Root.GetsufiMoSaint], je n'envie les autres que rarement.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], ich möchte mehr wie du sein und mir ist aufgefallen, dass ich andere nicht mehr um ihren Wohlstand beneide. ;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. En mi intento por parecerme a [Root.GetsufiMoSaint], he descubierto que ya apenas envidio la fortuna de los demás. ;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_WROTH;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. I used to get angered by the smallest things, but lately I have striven to be more like [Root.GetsufiMoSaint] and nowadays I barely notice that which used to annoy me.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. J'avais l'habitude de me mettre en colère pour de petites choses, mais dernièrement je me suis efforcé d'être plus comme [Root.GetsufiMoSaint], et maintenant je remarque à peine ce qui m'agaçait.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], früher haben mich die kleinsten Dinge geärgert, aber vor Kurzem entschloss ich mich, mehr wie du zu sein, und heute bin ich ruhiger geworden.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Antes, los detalles mas insignificantes me hacían montar en cólera, pero ahora que sigo los pasos de [Root.GetsufiMoSaint], apenas me llama la atención todo aquello que me solía sacar de quicio.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_PROUD;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. In my attempts to become more like [Root.GetsufiMoSaint], I have striven to think less of myself and more of others. The sense of pride which once shackled me is gone.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Dans mes tentatives de suivre les pas de [Root.GetsufiMoSaint], je me suis efforcé de penser moins à moi-même et plus aux autres. Le sentiment de fierté qui m'entravait a disparu.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], ich wollte mehr wie du sein und habe versucht, weniger an mich selbst und mehr an andere zu denken. Ich habe das Gefühl des Stolzes, an das ich einst gefesselt war, abgelegt.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. En mis intentos por parecerme a [Root.GetsufiMoSaint], he logrado pensar menos en mí y más en los demás. El orgullo que antes me atenazaba ha desaparecido.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_DECEITFUL;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. Once, I used lies and deceit to get out of trouble and fulfill my desires. Following the path of [Root.GetsufiMoSaint] has taught me better.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Autrefois, j'utilisais le mensonge et la tromperie pour me sortir d'un pétrin et satisfaire mes désirs. Suivre le chemin de [Root.GetsufiMoSaint] m'a appris à faire mieux.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], früher habe ich gelogen, um Schwierigkeiten zu entkommen oder um mein Verlangen zu stillen. Heute weiß ich es besser.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Antes usaba la mentira y el engaño para irme de rositas y lograr mis objetivos. Seguir los pasos de [Root.GetsufiMoSaint] me ha ayudado a ser mejor persona.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_CRUEL;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. Studying the works and life of [Root.GetsufiMoSaint] has made me realize the error of my ways. I have promised myself to treat others with less ire and more compassion.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Étudier l'oeuvre et la vie de [Root.GetsufiMoSaint] m'a fait prendre conscience de mes erreurs. Je me suis promis de traiter les autres avec moins d'ire et plus de compassion.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], du hast mir gezeigt, wie falsch mein Weg war. Ich habe mir selbst versprochen, dass ich anderen weniger mit Zorn und mehr mit Liebe begegnen werde.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Estudiar la vida y la obra de [Root.GetsufiMoSaint] me ha permitido ver mis propios errores. Me he propuesto tratar a los demás con más compasión y menos ira.;;;;;;;;;x
#EVTDESC_SUFI_4400_REMOVE_LUSTFUL;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. My attempts to follow in the footsteps of [Root.GetsufiMoSaint] has led me to realize the sinful nature of my lusts. I will try to see people for who they are, and not simply objects of my desire, from now on.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Mes tentatives de suivre les pas de [Root.GetsufiMoSaint] m'ont amené à réaliser la nature coupable de la luxure. Je vais essayer dorénavant de ne plus considérer l[Root.GetMenWomenPreference] comme de simples objets de mon désir.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], du hast mir gezeigt, wie sündig meine Gelüste doch sind. Ich werde von nun an versuchen, die Menschen so zu sehen, wie sie sind, und nicht einfach nur als Objekte meiner Begierden.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. En mi intento por parecerme a [Root.GetsufiMoSaint], me he dado cuenta lo pecaminosa que era mi lujuria. Voy a intentar ver a la gente como personas de carne y hueso y no como meros objetos de mi deseo.;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_HUMBLE;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. As I have followed this holy path, I have noticed that my sense of ego and need for recognition has all but vanished. This change has helped me focus on the things which really matter.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Alors que je suivais cette voie sacrée, j'ai remarqué que mon besoin de reconnaissance constant avait presque disparu. Ce changement a même aidé à me préoccuper de choses qui comptent vraiment.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Auf diesem heiligen Weg ist mir aufgefallen, dass mein Eigensinn und mein Verlangen nach Anerkennung praktisch ganz verschwunden sind. Diese Änderung hat mir geholfen, mich auf die wirklich wichtigen Dinge zu konzentrieren.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Esta senda sagrada me ha rebajado el sentido del ego y la necesidad constante de validación. Por fin he podido concentrarme en lo que de verdad importa.;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_CHARITABLE;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. Since I joined [Root.Society.GetName] I have practiced charity, yet it was not until today I realized I was truly glad to let go of my personal possessions. Helping those in need is truly fulfilling.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Depuis que j'ai rejoint [Root.Get_le_Society][Root.Society.GetName], j'ai pratiqué la charité, mais ce n'est qu'aujourd'hui que je me suis rendu compte que j'étais vraiment heureu[Root.GetXSe] de me délester de mes biens personnels. Aider ceux dans le besoin est vraiment épanouissant.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Seit ich dem "[Root.Society.GetName]"-Zirkel beigetreten bin, habe ich meine wohltätige Seite entdeckt, aber erst heute ist mir aufgefallen, wie froh ich wirklich bin, meinen persönlichen Besitz aufgegeben zu haben. Es ist wirklich erfüllend, jenen zu helfen, die es nötig haben.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Desde que me uní a [Root.Society.GetName] he estado practicando la caridad, pero hoy por primera vez me he alegrado de haberme desprendido de mis bienes materiales. Ayudar a los necesitados es muy gratificante.;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_CHASTE;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. Abstaining from my bodily desires has allowed me to connect with people on a much deeper level. I also find that my mind is clearer and more peaceful than it has ever been before.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. M'abstenir de mes désirs charnels m'a permis de me connecter avec des gens à un niveau beaucoup plus profond. Je constate aussi que mon esprit est plus clair et plus apaisé qu'il ne l'a jamais été.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Nachdem ich von meinen körperlichen Bedürfnissen Abstand genommen habe, konnte ich mich mit den Menschen auf einer viel tieferen Ebene verständigen. Außerdem fällt mir auf, dass ich klarer denke und ruhiger bin als je zuvor.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Al renunciar a los deseos físicos, he podido conectar con la gente de forma mucho más profunda. Además, tengo más claridad y paz mental que nunca.;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_KIND;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. Following in the footsteps of [Root.GetsufiMoSaint], I have realized the value of kindness. Every display of compassion brings us closer to a purer, gentler and holier world.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. En suivant les traces de [Root.GetsufiMoSaint], j'ai réalisé la valeur de la bonté. Chaque manifestation de compassion nous rapproche d'un monde plus pur, plus doux et plus sain.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], ich habe erkannt, wie wichtig es ist, gut mit anderen umzugehen. Jede Geste der Nächstenliebe ist ein Schritt hin zu einer reineren, mildtätigeren und heiligeren Welt.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Seguir la senda de [Root.GetsufiMoSaint] me ha enseñado el valor de la bondad. Cada muestra de compasión nos acerca hacia la pureza y convierte el mundo en un lugar más sagrado.;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_TEMPERATE;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. In my quest to live like [Root.GetsufiMoSaint] I have avoided indulgences and impulsive actions. Each time I have been tested, my self-control has grown, and now I resist most desires with an ease I have never experienced previously.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Dans ma quête de vivre comme [Root.GetsufiMoSaint] j'ai évité les excès et les actions impulsives. Chaque fois que j'ai été testé, j'ai su me maîtriser, et maintenant je résiste à la plupart des désirs avec une facilité que je n'ai jamais connu auparavant.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. [Root.GetsufiMoSaint], ich möchte wie du leben und so habe ich dem Luxus und spontanen Handlungen entsagt. Jedes Mal, wenn ich auf die Probe gestellt wurde, ist meine Selbstbeherrschung stärker geworden, und nun widerstehe ich den meisten Versuchungen so leicht wie noch nie.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. En mi intento por seguir el ejemplo de [Root.GetsufiMoSaint], he evitado los vicios y las acciones impulsivas. Cada escollo que he superado me ha proporcionado un mayor autocontrol y ahora puedo resistir mejor que nunca a mis deseos.;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_HONEST;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. On this holy path I have discovered the value of being true, to myself as well as others. Once I would lie to hide my sin and shame, however, I no longer feel I have anything to hide.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Sur ce saint chemin, j'ai découvert la valeur de dire la vérité, à moi-même et aux autres. Autrefois je voulais cacher mon péché et ma honte, mais maintenant je sens ne plus rien avoir à cacher.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Auf diesem heiligen Pfad habe ich erkannt, wie wichtig es ist, sich selbst und anderen treu zu bleiben. Einst musste ich lügen, um meine Sünde und meine Schande zu verbergen, aber ich habe nicht mehr das Gefühl, ich hätte etwas zu verstecken.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Esta senda sagrada me ha permitido descubrir el valor de la sinceridad. Antes solía mentir para ocultar mis pecados y mis vergüenzas, pero ahora siento que no tengo nada que esconder.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_AMBITIOUS;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. It took time and effort, but finally studying the life of [Root.GetsufiMoSaint] has shown me the error of my ways. I will no longer strive to obtain personal glory – I live to serve [Root.Society.GetName].;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Il a fallu du temps et des efforts, mais l'étude de la vie de [Root.GetsufiMoSaint] m'a enfin fait comprendre mes erreurs. Je ne vais plus m'efforcer d'obtenir une gloire personnelle – Je ne vis plus que pour servir [Root.Get_le_Society][Root.Society.GetName].;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Es hat lange gedauert, aber nachdem ich dein Leben studierte, [Root.GetsufiMoSaint], habe ich meine Verfehlungen erkannt. Ich werde aufhören, nach persönlichem Ruhm zu trachten. Ich lebe für den "[Root.Society.GetName]"-Zirkel.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. He tenido que invertir tiempo y esfuerzo, pero estudiar la vida de [Root.GetsufiMoSaint] me ha permitido ver mis propios errores. He renunciado a perseguir la gloria personal para servir mejor a [Root.Society.GetName].;;;;;;;;;x
EVTDESC_SUFI_4400_ADD_CONTENT;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. By following this holy path I have shed my material and prideful desires, one by one. Now I am truly content with my place in this world and no longer crave more.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. En suivant ce saint chemin, j'ai renoncé à mes orgueilleux vœux matériels. À présent, je suis vraiment content[Root.GetNoneE] de ma place dans ce monde et de ne plus avoir envie de plus.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Auf diesem heiligen Pfad habe ich mein materielles und stolzes Verlangen Stück für Stück abgelegt. Nun bin ich wirklich zufrieden mit meinem Platz in dieser Welt und brauche nicht mehr.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Esta senda sagrada me ha ayudado a deshacerme de mis arrogantes deseos materiales. Por fin he encontrado la satisfacción y he dejado de sentir ansias de más.;;;;;;;;;x
