#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTDESC_CM_2104;You ride out one fine morning in the company of [From.GetTitledFirstNameWithNick], taking no escort and wearing practical rather than regal attire. This will be a good break from the monotony of your court. You catch [From.GetTitledFirstName] giving you a sceptical look, but you are sure this will be a fine journey.;Vous chevauchez un beau matin en compagnie de [From.GetTitledFirstNameWithNick], sans escorte, vêtu d'habits confortables plutôt que de votre tenue de souverain. Vous appréciez le changement par rapport à la vie de cour. Vous remarquez [From.GetTitledFirstName] qui vous jette un regard sceptique, mais vous sentez que ce sera une belle journée.;An einem schönen Morgen reitet Ihr in Begleitung von [From.GetTitledFirstNameWithNick] aus, ohne Eskorte und in schlichter, praktischer Garderobe. Dies wird eine schöne Abwechslung von der Montonie Eures Hofes sein. Zwar wirft Euch [From.GetTitledFirstName] einen skeptischen Blick zu, doch Ihr seid Euch sicher, dass es ein schöner Ausflug werden wird.;;Una buena mañana sales en compañía de [From.GetTitledFirstNameWithNick], no lleváis escolta y vuestras vestimentas son más bien prácticas en vez de majestuosas. Esto sí va a ser romper la monotonía de la corte. Tomas el [From.GetTitledFirstName] lo que te da una imagen escéptica, pero estás convencido de que será un buen viaje.;;;;;;;;;x
EVTOPTA_CM_2104;What could possibly go wrong?;Que pourrait-il arriver de mal ?;Was soll schon passieren?;;¿Qué puede fallar?;;;;;;;;;x
d_yatviags;Yatvingia;Yatvingia;Jatwinger;;Yatvingia;;;;;;;;;x
d_pechenegs;Pecheneg;Petchénègue;Petschenegen;;Pecheneg;;;;;;;;;x
e_seljuk_turks;Seljuk Empire;Empire seldjouk;Seldschukenreich;;El Imperio de Seljuk;;;;;;;;;x
action_settle_tribe;Settle Tribe;Implanter une tribu;Stamm ansiedeln;;Establezca el Tribu;;;;;;;;;x
action_settle_tribe_desc;Assign your [GetTreasurerName] to settle members of your tribe in the county, increasing the chance that its culture will change to §Y[Culture.GetName]§!.;Assigner votre [GetTreasurerName] à l'implantation de tribus dans le pays, ce qui augmente les chances de passer cette culture en culture §Y[Culture.GetName]§!.;Beauftragt Euren [GetTreasurerName], Angehörige Eures Stammes in der Grafschaft anzusiedeln, damit die Chance einer Kulturänderung zu §Y[Culture.GetName]§! ansteigt.;;Nombrar a tu [GetTreasurerName] para que establezca miembros de tu clan en el país, de modo que aumenten las oportunidades de que su cultura cambie a §Y[Culture.GetName]§!.;;;;;;;;;x
EVTNAME925;Tribe Settled;Tribu implantée;Stamm angesiedelt;;Tribu Establecido;;;;;;;;;x
EVTDESC925;My efforts to settle our tribe in [Root.Location.GetName] have met with success! My liege will be pleased!;Mes tentatives d'implanter notre tribu en [Root.Location.GetName] ont réussi ! Mon seigneur sera satisfait !;Meine Bemühungen zur Ansiedelung unseres Stammes in [Root.Location.GetName] waren erfolgreich. Mein Lehnsherr wird erfreut sein!;;¡Mis esfuerzos para establecer nuestra tribu en [Root.Location.GetName] ha surtido efecto! ¡Mi señor feudal estará satisfecho!;;;;;;;;;x
EVTOPTA925;[Root.Liege.Culture.GetName] ways are superior.;Les coutumes de la culture [Root.Liege.Culture.GetName] sont supérieures.;Die Lebensweise der [Root.Liege.Culture.GetName] ist die bessere.;;Las maneras de [Root.Liege.Culture.GetName] son superiores;;;;;;;;;x
EVTDESC20205;My [Root.GetTreasurerName], [From.GetTitledFirstName], is pleased to report that [From.Location.GetName] has been settled with many good [Root.Culture.GetName] families. The locals, though initially resistant, have started to adopt our language and customs!;Notre [Root.GetTreasurerName], [From.GetTitledFirstName] nous apprend que [From.Location.GetName] s'est installé en compagnie de plusieurs bonnes familles de culture [Root.Culture.GetName]. Les autochtones, d'abord hostiles, ont commencé à adopter notre langue et nos coutumes !;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] lässt mich wissen, dass [From.Location.GetName] nun von vielen [Root.Culture.GetName] Familien bewohnt wird. Die Einheimischen nehmen nun trotz ihres anfänglichen Widerstandes unsere Sprache und Gebräuche an!;;Mi [Root.GetTreasurerName], [From.GetTitledFirstName], se complace en informar que muchas buenas familias [Root.Culture.GetName] se han establecido en [From.Location.GetName]. ¡La gente del lugar, aunque al principio se mostró reticente, ya ha empezado a adoptar nuestra lengua y costumbres!;;;;;;;;;x
EVTOPTA20205;[From.GetFirstName] is always reliable.;On peut toujours compter sur [From.GetFirstName].;Auf [From.GetFirstName] ist immer Verlass.;;[From.GetFirstName]siempre es confiable.;;;;;;;;;x
EVTNAME20206;[Root.GetTreasurerName] Wounded;[Root.GetTreasurerName] blessé;[Root.GetTreasurerName] verwundet;;[Root.GetTreasurerName] herido;;;;;;;;;x
EVTDESC20206;The locals in [Root.Location.GetName], angered by the increasing numbers of [Root.Liege.Culture.GetName] settlers, stormed my house and almost killed me! I took a wound in the shoulder fighting for my life!;Les indigènes en [Root.Location.GetName] ne tolèrent pas le nombre croissant de colons de culture [Root.Liege.Culture.GetName]. Ils ont attaqué ma maison et ont failli me tuer ! J'ai été blessé à l'épaule en défendant ma vie !;Die Einheimischen in [Root.Location.GetName] stürmten mein Haus, weil sie durch die Zunahme der [Root.Liege.Culture.GetName] Siedler aufgebracht waren und hätten mich beinahe umgebracht! Beim Kampf um mein Leben wurde ich an der Schulter verwundet!;;¡La gente local de [Root.Location.GetName], enfurecida por el creciente número de asentamientos  [Root.Liege.Culture.GetName], han asaltado mi casa y casi me matan! ¡Me hirieron el hombro mientras luchaba por mi vida!;;;;;;;;;x
EVTOPTA20206;I can't say I blame them...;Difficile de les blâmer...;Irgendwie kann ich sie verstehen ...;;No puedo decir que ellos tienen la culpa.;;;;;;;;;x
EVTDESC20207;My [Root.GetTreasurerName], [From.GetTitledFirstName], has been stabbed and wounded by the locals in [From.Location.GetName], who are fiercely resisting our settlers.;Notre [Root.GetTreasurerName], [From.GetTitledFirstName] a été poignardé par les indigènes en [From.Location.GetName], qui s'opposent farouchement à nos colons !;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] wurde mit einem Messer angegriffen und von den Einheimischen in [From.Location.GetName] verwundet. Der Widerstand gegen unsere Siedler ist beträchtlich.;;Mi [Root.GetTreasurerName], [From.GetTitledFirstName], ha sido apuñalado y herido por la gente de [From.Location.GetName], quienes están oponiendo una resistencia feroz ante nuestros colonos.;;;;;;;;;x
EVTOPTA20207;Such is to be expected...;Il fallait s'y attendre...;Das war zu erwarten ...;;Ya como es de esperar;;;;;;;;;x
action_build_legend;Build Legend;Une légende est née;Zur Legende machen;;Crear Leyenda;;;;;;;;;x
#action_build_legend_desc;Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors.;Demandez à [GetTreasurerName] de diffuser votre légende dans la populace, ce qui augmentera votre prestige et pourra même susciter quelques vocations militaires.;Beauftragt Euren [GetTreasurerName] damit, Euren Namen zur Legende zu machen. So erhöht sich Euer Prestige und möglicherweise finden sich sogar kampfeswillige Recken.;; Tu [GetTreasurerName] está cimentando tu leyenda entre la gente, aumentando tu Prestigio e incluso posiblemente alimentando a algunos guerreros ansiosos.;;;;;;;;;x
EVTNAME20208;Warriors Raised;Des guerriers prêts à combattre;Krieger ausgehoben;;Guerreros Criados;;;;;;;;;x
EVTDESC20208;My efforts at building the legend of [Root.Liege.GetTitledFirstName] have met with great success. Bands of warriors has converged at [Root.Location.Capital.GetName] lusting for plunder and glory!;Les tentatives de créer une légende autour de [Root.Liege.GetTitledFirstName] sont couronnées de succès. Des groupes de guerriers convergent vers [Root.Location.Capital.GetName], attirés par le butin et la gloire !;Meine Bemühungen, [Root.Liege.GetTitledFirstName] zur Legende zu machen, waren erfolgreich. In [Root.Location.Capital.GetName] haben sich Gruppen von Kriegern eingefunden. Sie dürsten nach Beute und Ruhm.;;Mi campaña para cimentar la leyenda de [Root.Liege.GetTitledFirstName] ha resultado ser enormemente exitosa. ¡Bandas de guerreros se han reunido en [Root.Location.Capital.GetName] codiciando el botín y la gloria!;;;;;;;;;x
EVTOPTA20208;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;Notre [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x
EVTDESC20209;My [Root.GetTreasurerName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at praising my name and deeds have met with great success! A small army of warriors have converged at [Root.Capital.Capital.GetName] ready to serve me. I just need to make sure they have someone to fight - within a year - lest they become... troublesome.;Notre [Root.GetTreasurerName], [From.GetTitledFirstName], m'informe que ses efforts pour me rendre gloire rencontrent un franc succès ! Une petite armée de guerriers s'est rendu à [Root.Capital.Capital.GetName], prête à me servir. Il faudra juste leur trouver quelque chose à combattre d'ici un an, ou bien ils pourraient causer des problèmes...;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] berichtet, dass [From.GetPossPronoun] Bemühungen, den Ruhm meines Namens und meiner Taten zu ehren, äußerst erfolgreich waren! Eine kleine Armee hat sich in [Root.Capital.Capital.GetName] versammelt und möchte in meine Dienste treten. Nun muss ich ihnen nur noch innerhalb eines Jahres einen Feind präsentieren, sonst sorgen sie für Ärger ...;;¡Mi [Root.GetTreasurerName], [From.GetTitledFirstName], dice que [From.GetPossPronoun] esfuerzos para elogiar mi nombre y mis hazañas han surtido efecto! Un pequeño ejército de guerreros se han congregado en [Root.Capital.Capital.GetName] listos para servirme. Solamente tengo que asegurarme de que tengan a alguien contra quien luchar – en el plazo de un año- no sea que se conviertan en... conflictivos.;;;;;;;;;x
EVTOPTA20209;Splendid!;Splendide !;Bestens!;;Espléndido;;;;;;;;;x
EVTDESC20217;The warriors my [Root.GetTreasurerName] raised to fight for my glory have become disillusioned by my effeminate pacifism and have gone home in disgust, causing me a great loss of face.;Les guerriers de notre [Root.GetTreasurerName] assemblés pour combattre en mon nom ont perdu leurs illusions face à mon pacifisme efféminé. Ils sont rentrés chez eux le cœur plein d'amertume, et mon honneur en souffre.;Die Krieger, die mein [Root.GetTreasurerName] für mich begeistern konnte, sind enttäuscht über meinen weibischen Pazifismus. Angewidert kehrten sie mir den Rücken und gingen ihrer Wege. Was für eine Blamage für mich!;;Los guerreros que mi [Root.GetTreasurerName] incitó a luchar por mi gloria se han desilusionado a causa de mi afeminado pacifismo y se han vuelto a casa indignados, lo que me ha provocado gran desprestigio.;;;;;;;;;x
EVTOPTA20217;Curse them!;Qu'ils soient maudits !;Verflucht sollen sie sein!;;¡Malditos sean!;;;;;;;;;x
action_build_zeal;Build Zeal;Plus de ferveur;Fanatismus fördern;;Construir Celo;;;;;;;;;x
#action_build_zeal_desc;Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors.;Demandez à [GetTreasurerName] de réveiller le zèle religieux de la populace, ce qui augmentera votre piété et pourra même susciter quelques vocations militaires.;Beauftragt Euren [GetLordSpiritualName] damit, den religiösen Eifer in Eurem Volk anzufachen, um so Eure Pietät zu mehren und möglicherweise Glaubenskrieger anzuwerben.;;Tu [GetLordSpiritualName] fomenta un fervor religioso entre la gente, aumentando así tu Devoción y posiblemente atrayendo algunos guerreros santos.;;;;;;;;;x
EVTNAME20218;Zealots Raised;Zélotes à vos ordres;Zeloten ausgehoben;; Fanaticos Criados;;;;;;;;;x
EVTDESC20218;I have managed to whip up the religious fervor in [Root.Location.GetName] to a frenzy. Zealous warriors have gathered in the name of [Root.Liege.Religion.GetRandomGodName] to bring ruin to the infidels!;J'ai réussi à réveiller la ferveur religieuse en [Root.Location.GetName], les gens sont frénétiques. Des guerriers se sont rassemblés au nom de [Root.Liege.Religion.GetRandomGodName] pour éliminer les infidèles !;Es ist mir gelungen, den Fanatismus in [Root.Location.GetName] anzuheizen. Fanatische Krieger haben sich im Namen von [Root.Liege.Religion.GetRandomGodName] versammelt, um allen Ungläubigen den Tod zu bringen!;;Me las he arreglado para incitar hasta la locura el fervor religioso en [Root.Location.GetName]. ¡Los fervientes guerreros se han reunido en nombre de [Root.Liege.Religion.GetRandomGodName] para destruir a los infieles!;;;;;;;;;x
EVTOPTA20218;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;Notre [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;;Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedara contento;;;;;;;;;x
EVTDESC20219;My [Root.GetTreasurerName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at increasing religious fervor among the people have met with great success! A small army of zealots have converged at [Root.Capital.Capital.GetName] ready to serve me. Now I simply need to attack some suitable infidel before my new recruits wander off in disgust.;Notre [Root.GetTreasurerName], [From.GetTitledFirstName], m'informe que ses efforts pour accroître la ferveur religieuse du peuple ont rencontré un grand succès ! Une petite armée de zélotes se dirige vers [Root.Capital.Capital.GetName] pour me servir. Je vais devoir leur trouver une cible convenable à attaquer avant qu'ils ne se dispersent.;Mein [Root.GetTreasurerName] [From.GetTitledFirstName] berichtet, dass [From.GetPossPronoun] Bemühungen, den Fanatismus anzuheizen, erfolgreich waren! Eine kleine Armee aus Zeloten hat sich in [Root.Capital.Capital.GetName] versammelt und möchte in meine Dienste treten. Nun muss ich nur noch einen Ungläubigen angreifen, ehe sie mir angewidert den Rücken kehren.;;¡Mi [Root.GetTreasurerName], [From.GetTitledFirstName], dice que [From.GetPossPronoun] esfuerzos para fomentar el fervor religioso entre la gente han surtido efecto! Un pequeño ejército de fanáticos se han congregado en [Root.Capital.Capital.GetName] listos para servirme. Ahora simplemente tenemos que atacar a algunos infieles antes de que mis nuevos reclutas se vayan indignados.;;;;;;;;;x
EVTOPTA20219;Praise [Root.Religion.GetRandomGodName]!;Gloire à [Root.Religion.GetRandomGodName] !;Gelobt sei [Root.Religion.GetRandomGodName]!;;Alabar a[Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC20220;The holy warriors my [Root.GetLordSpiritualName] attracted to fight for [Root.Religion.GetRandomGodName] have become disillusioned by my ungodly refusal to fight a Holy War and wandered off, damaging my Piety greatly.;Les guerriers saints que mon [Root.GetLordSpiritualName] a attirés pour combattre au nom de [Root.Religion.GetRandomGodName] ont perdu leurs illusions devant mon refus incompréhensible de mener une guerre sainte, et se sont dispersés. Ma piété en souffre grandement.;Die heiligen Krieger, die mein [Root.GetLordSpiritualName] für den Kampf im Namen von [Root.Religion.GetRandomGodName] angeworben hat, sind aufgrund meiner gottlosen Weigerung, einen heiligen Krieg anzuzetteln, ernüchtert von dannen gezogen. Meiner Pietät hat das sehr geschadet.;;Los guerreros santos que atrajo mi [Root.GetLordSpiritualName] para luchar por [Root.Religion.GetRandomGodName] se han desilusionado por mi impía negativa a luchar en una Guerra Santa y nos han abandonado, lo que daña enormemente nuestra Devoción.;;;;;;;;;x
